"source_cluster","target_cluster","time_bin","n"
"Cluster_1","Cluster_1","[-4.25,-3.92]",7
"Cluster_3","Cluster_1","[-4.25,-3.92]",14
"Cluster_2","Cluster_2","[-4.25,-3.92]",3
"Cluster_3","Cluster_2","[-4.25,-3.92]",2
"Cluster_1","Cluster_3","[-4.25,-3.92]",63
"Cluster_2","Cluster_3","[-4.25,-3.92]",10
"Cluster_3","Cluster_3","[-4.25,-3.92]",395
"Cluster_1","Cluster_4","[-4.25,-3.92]",9
"Cluster_2","Cluster_4","[-4.25,-3.92]",5
"Cluster_3","Cluster_4","[-4.25,-3.92]",26
"Cluster_1","Cluster_1","(-3.92,-3.59]",2
"Cluster_2","Cluster_1","(-3.92,-3.59]",1
"Cluster_3","Cluster_1","(-3.92,-3.59]",1
"Cluster_1","Cluster_3","(-3.92,-3.59]",5
"Cluster_3","Cluster_3","(-3.92,-3.59]",31
"Cluster_1","Cluster_4","(-3.92,-3.59]",1
"Cluster_3","Cluster_4","(-3.92,-3.59]",15
"Cluster_1","Cluster_1","(-3.59,-3.27]",35
"Cluster_2","Cluster_1","(-3.59,-3.27]",3
"Cluster_3","Cluster_1","(-3.59,-3.27]",47
"Cluster_1","Cluster_3","(-3.59,-3.27]",8
"Cluster_2","Cluster_3","(-3.59,-3.27]",1
"Cluster_3","Cluster_3","(-3.59,-3.27]",37
"Cluster_1","Cluster_1","(-3.27,-2.94]",13
"Cluster_2","Cluster_1","(-3.27,-2.94]",4
"Cluster_3","Cluster_1","(-3.27,-2.94]",31
"Cluster_4","Cluster_1","(-3.27,-2.94]",2
"Cluster_1","Cluster_2","(-3.27,-2.94]",1
"Cluster_3","Cluster_2","(-3.27,-2.94]",17
"Cluster_1","Cluster_3","(-3.27,-2.94]",30
"Cluster_2","Cluster_3","(-3.27,-2.94]",5
"Cluster_3","Cluster_3","(-3.27,-2.94]",187
"Cluster_4","Cluster_3","(-3.27,-2.94]",2
"Cluster_1","Cluster_4","(-3.27,-2.94]",2
"Cluster_2","Cluster_4","(-3.27,-2.94]",17
"Cluster_3","Cluster_4","(-3.27,-2.94]",23
"Cluster_4","Cluster_4","(-3.27,-2.94]",1
"Cluster_1","Cluster_1","(-2.94,-2.61]",54
"Cluster_2","Cluster_1","(-2.94,-2.61]",4
"Cluster_3","Cluster_1","(-2.94,-2.61]",97
"Cluster_4","Cluster_1","(-2.94,-2.61]",1
"Cluster_1","Cluster_2","(-2.94,-2.61]",1
"Cluster_2","Cluster_2","(-2.94,-2.61]",3
"Cluster_3","Cluster_2","(-2.94,-2.61]",11
"Cluster_1","Cluster_3","(-2.94,-2.61]",17
"Cluster_2","Cluster_3","(-2.94,-2.61]",6
"Cluster_3","Cluster_3","(-2.94,-2.61]",177
"Cluster_1","Cluster_4","(-2.94,-2.61]",1
"Cluster_2","Cluster_4","(-2.94,-2.61]",3
"Cluster_3","Cluster_4","(-2.94,-2.61]",10
"Cluster_1","Cluster_1","(-2.61,-2.28]",42
"Cluster_2","Cluster_1","(-2.61,-2.28]",4
"Cluster_3","Cluster_1","(-2.61,-2.28]",132
"Cluster_1","Cluster_2","(-2.61,-2.28]",2
"Cluster_2","Cluster_2","(-2.61,-2.28]",7
"Cluster_3","Cluster_2","(-2.61,-2.28]",23
"Cluster_1","Cluster_3","(-2.61,-2.28]",43
"Cluster_2","Cluster_3","(-2.61,-2.28]",10
"Cluster_3","Cluster_3","(-2.61,-2.28]",174
"Cluster_4","Cluster_3","(-2.61,-2.28]",1
"Cluster_1","Cluster_4","(-2.61,-2.28]",17
"Cluster_3","Cluster_4","(-2.61,-2.28]",48
"Cluster_4","Cluster_4","(-2.61,-2.28]",3
"Cluster_1","Cluster_1","(-2.28,-1.95]",137
"Cluster_2","Cluster_1","(-2.28,-1.95]",8
"Cluster_3","Cluster_1","(-2.28,-1.95]",256
"Cluster_4","Cluster_1","(-2.28,-1.95]",2
"Cluster_1","Cluster_2","(-2.28,-1.95]",6
"Cluster_2","Cluster_2","(-2.28,-1.95]",7
"Cluster_3","Cluster_2","(-2.28,-1.95]",14
"Cluster_1","Cluster_3","(-2.28,-1.95]",63
"Cluster_2","Cluster_3","(-2.28,-1.95]",21
"Cluster_3","Cluster_3","(-2.28,-1.95]",311
"Cluster_1","Cluster_4","(-2.28,-1.95]",16
"Cluster_2","Cluster_4","(-2.28,-1.95]",10
"Cluster_3","Cluster_4","(-2.28,-1.95]",78
"Cluster_4","Cluster_4","(-2.28,-1.95]",5
"Cluster_1","Cluster_1","(-1.95,-1.63]",254
"Cluster_2","Cluster_1","(-1.95,-1.63]",31
"Cluster_3","Cluster_1","(-1.95,-1.63]",494
"Cluster_4","Cluster_1","(-1.95,-1.63]",5
"Cluster_1","Cluster_2","(-1.95,-1.63]",7
"Cluster_2","Cluster_2","(-1.95,-1.63]",49
"Cluster_3","Cluster_2","(-1.95,-1.63]",60
"Cluster_1","Cluster_3","(-1.95,-1.63]",191
"Cluster_2","Cluster_3","(-1.95,-1.63]",28
"Cluster_3","Cluster_3","(-1.95,-1.63]",941
"Cluster_4","Cluster_3","(-1.95,-1.63]",12
"Cluster_1","Cluster_4","(-1.95,-1.63]",92
"Cluster_2","Cluster_4","(-1.95,-1.63]",18
"Cluster_3","Cluster_4","(-1.95,-1.63]",240
"Cluster_4","Cluster_4","(-1.95,-1.63]",17
"Cluster_1","Cluster_1","(-1.63,-1.3]",384
"Cluster_2","Cluster_1","(-1.63,-1.3]",62
"Cluster_3","Cluster_1","(-1.63,-1.3]",576
"Cluster_4","Cluster_1","(-1.63,-1.3]",8
"Cluster_1","Cluster_2","(-1.63,-1.3]",14
"Cluster_2","Cluster_2","(-1.63,-1.3]",34
"Cluster_3","Cluster_2","(-1.63,-1.3]",157
"Cluster_4","Cluster_2","(-1.63,-1.3]",1
